Company,Post Money Value,Total Equity Funding,Lead Investors Include,Country,Continent
SpaceX,$350B,$9B,Andreessen Horowitz,United States,North America
OpenAI,$300B,$58B,SoftBank,United States,North America
ByteDance,$220B,$8B,Kohlberg Kravis Roberts Japan,Sequoia Capital,China,Asia
Ant Group,$150B,$19B,GIC,Temasek Holdings,China,Asia
Reliance Retail,$100B,$8B,Abu Dhabi Investment Authority,India,Asia
xAI,$70B,$17B,Morgan Stanley,United States,North America
Shein,$66B,$4B,General Atlantic,HSG,China,Asia
Stripe,$65B,$9B,Andreessen Horowitz,Baillie Gifford,United States,North America
Databricks,$62B,$16B,Andreessen Horowitz,DST Global,United States,North America
Anthropic,$62B,$9B,Bessemer Venture Partners,Cisco Investments,United States,North America
Reliance Jio,$58B,$20B,Google,India,Asia
Revolut,$45B,$2B,Woodford Investment Management,United Kingdom,Europe
Waymo,$45B,$11B,Alphabet,United States,North America
Checkout.com,$40B,$2B,Tiger Global Management,United Kingdom,Europe
JUUL,$38B,$15B,Altria,United States,North America
Canva,$32B,$580M,Stack Capital,Australia,Oceania
Safe Superintelligence,$32B,$3B,CoreNest Capital,United States,North America
Fanatics,$31B,$5B,Clearlake Capital Group,United States,North America
Anduril Industries,$31B,$6B,Founders Fund,United States,North America
Cruise,$30B,$9B,General Motors,United States,North America
Alibaba Bendi Shenghuo Fuwu Gongsi,$30B,$4B,Alibaba Group,SoftBank Vision Fund,China,Asia
Scale AI,$29B,$16B,Meta,United States,North America
Yangtze Memory Technologies,$23B,$7B,,China,Asia
Epic Games,$23B,$8B,The Walt Disney Company,United States,North America
BYJU'S,$22B,$5B,Qatar Investment Authority,India,Asia
Envision Group,$21B,$2B,GIC,HSG,China,Asia
J&T Express,$20B,$5B,EWTP Arabia Capital,Indonesia,Asia
FNZ,$20B,$3B,Raymond James,United Kingdom,Europe
ChangXin Memory Technologies,$19B,$5B,,China,Asia
JD Digits,$18B,$5B,APOFCO,CICC,China,Asia
Miro,$18B,$476M,ICONIQ Growth,United States,North America
Xiaohongshu,$17B,$918M,Temasek Holdings,Tencent,China,Asia
Yuanfudao,$17B,$4B,YF Capital,China,Asia
Rippling,$17B,$2B,Coatue,United States,North America
Trendyol Group,$17B,$2B,General Atlantic,SoftBank Vision Fund,Turkey,Europe
Yinwang Smart Technology,$16B,$3B,Seres Group,China,Asia
Ramp,$16B,$1B,Founders Fund,United States,North America
Discord,$15B,$979M,Dragoneer Investment Group,United States,North America
Gopuff,$15B,$3B,Robert Iger,United States,North America
Genki Forest,$15B,$721M,Temasek Holdings,China,Asia
CloudKitchens,$15B,$1B,Saudi Arabia's Public Investment Fund,United States,North America
Bitmain,$15B,$765M,Crimson Ventures,China,Asia
Applied Intuition,$15B,$1B,BlackRock,Kleiner Perkins,United States,North America
Perplexity,$15B,$1B,Accel,United States,North America
GAC Aion New Energy Automobile,$14B,$3B,,China,Asia
Helsing,$14B,$2B,Prima Materia,Germany,Europe
OpenSea,$13B,$427M,Coatue,Paradigm,United States,North America
Grammarly,$13B,$1B,General Catalyst,United States,North America
Devoted Health,$13B,$2B,Fearless Ventures,GIC,United States,North America
Celonis,$13B,$2B,Qatar Investment Authority,Germany,Europe
Faire,$13B,$2B,Shopify,United States,North America
Figma,$13B,$749M,Durable Capital Partners,United States,North America
Infinite Reality,$12B,$3B,,United States,North America
PhonePe,$12B,$3B,General Atlantic,India,Asia
GoodLeap,$12B,$0,,United States,North America
Biosplice Therapeutics,$12B,$778M,aMoon Fund,Eventide,United States,North America
Xingsheng Youxuan,$12B,$5B,Ontario Teachers' Pension Plan,China,Asia
Deel,$12B,$682M,Coatue,United States,North America
Northvolt,$12B,$4B,La Caisse,Sweden,Europe
Airtable,$12B,$1B,XN,United States,North America
Dunamu,$12B,$741M,IMM Investment,South Korea,Asia
The Access Group,$12B,$1B,Hg,TA Associates,United Kingdom,Europe
Bilt Rewards,$11B,$813M,General Catalyst,GID,United States,North America
Notion,$10B,$343M,Coatue,Sequoia Capital,United States,North America
Alchemy,$10B,$564M,Lightspeed Venture Partners,Silver Lake,United States,North America
Colossal Biosciences,$10B,$448M,Mark Walter,Thomas Tull,United States,North America
KuCoin,$10B,$180M,Susquehanna International Group,Seychelles,Africa
Digital Currency Group,$10B,$0,OMERS Ventures,United States,North America
Ripple,$10B,$294M,Tetragon Financial Group Limited,United States,North America
Zuoyebang,$10B,$3B,FountainVest Partners,Tiger Global Management,China,Asia
Chehaoduo,$10B,$4B,H Capital Advance,HSG,China,Asia
Talkdesk,$10B,$497M,TI Platform Management,United States,North America
Thrasio,$10B,$2B,Advent International,Silver Lake,United States,North America
Lalamove,$10B,$2B,Hillhouse Investment,HSG,Hong Kong,Asia
Thinking Machines Lab,$10B,$2B,Andreessen Horowitz,United States,North America
Anysphere,$10B,$1B,Thrive Capital,United States,North America
Mahindra Electric Automobile,$10B,$388M,Temasek Holdings,India,Asia
Gusto,$10B,$746M,Friends & Family Capital,United States,North America
Navan,$9B,$1B,Greenoaks,United States,North America
Tata Passenger Electric Mobility,$9B,$989M,TPG Rise Climate Fund,India,Asia
N26,$9B,$2B,Coatue,Third Point Ventures,Germany,Europe
Tanium,$9B,$775M,Salesforce Ventures,United States,North America
Yanolja,$9B,$2B,SoftBank Vision Fund,South Korea,Asia
Neuralink,$9B,$1B,CoreNest Capital,United States,North America
VAST Data,$9B,$381M,Fidelity,United States,North America
Niantic,$9B,$770M,Coatue,United States,North America
HeyTea,$9B,$594M,Coatue,Hillhouse Investment,China,Asia
Octopus Energy Group,$9B,$3B,CPP Investments,United Kingdom,Europe
EV Co,$9B,$486M,,India,Asia
Ping An Healthcare Management,$9B,$1B,SBI Group,SoftBank Vision Fund,China,Asia
Personio,$9B,$418M,Accel,United States,North America

